channel,snr,mcs,seq_number
pdc,0.50,0,3650
pcc_err,0.50,0,3651
pdc,0.50,0,3653
pcc_err,0.50,0,3654
pcc_err,0.50,0,3654
pcc_err,0.50,0,3663
pcc_err,0.50,0,3663
pdc,0.50,0,3669
pdc,0.50,0,3671
pcc_err,0.50,0,3672
pcc_err,0.50,0,3672
pcc_err,0.50,0,3672
pcc_err,0.50,0,3678
pcc_err,0.50,0,3686
pcc_err,0.50,0,3686
pcc_err,0.50,0,3699
pcc_err,0.50,0,3699
pcc_err,0.50,0,3699
pcc_err,0.50,0,3699
pcc_err,0.50,0,3720
pcc_err,0.50,0,3720
pcc_err,0.50,0,3720
pdc,0.50,0,3730
pcc_err,0.50,0,3733
pcc_err,0.50,0,3745
pcc_err,0.50,0,3745
pcc_err,0.50,0,3745
pcc_err,0.50,0,3774
pcc_err,0.50,0,3788
pcc_err,0.50,0,3797
pcc_err,0.50,0,3797
pcc_err,0.50,0,3797
pcc_err,0.50,0,3797
pdc,0.50,0,3809
pcc_err,0.50,0,3810
pcc_err,0.50,0,3817
pcc_err,0.50,0,3817
pdc,0.50,0,3828
pdc,0.50,0,3838
pcc_err,0.50,0,3843
pdc,0.50,0,3856
pdc,0.50,0,3858
pdc,0.50,0,3877
pdc,0.50,0,3884
pdc,0.50,0,3887
pcc_err,0.50,0,3888
pcc_err,0.50,0,3888
pcc_err,0.50,0,3888
pcc_err,0.50,0,3892
pdc,0.50,0,3894
pcc_err,0.50,0,3903
pcc_err,0.50,0,3903
pdc,0.50,0,3908
pcc_err,0.50,0,3916
pdc,0.50,0,3930
pdc,0.50,0,3931
pcc_err,0.50,0,3932
pcc_err,0.50,0,3932
pdc,0.50,0,3938
pdc,0.50,0,3940
pdc,0.50,0,3956
pcc_err,0.50,0,3957
pcc_err,0.50,0,3957
pdc,0.50,0,3984
pdc,0.50,0,4002
pcc_err,0.50,0,4003
pcc_err,0.50,0,4011
pcc_err,0.50,0,4011
pdc,0.50,0,4030
pdc,0.50,0,4035
pcc_err,0.50,0,4038
pdc,0.50,0,4044
pdc,0.50,0,4049
pcc_err,0.50,0,4069
pcc_err,0.50,0,4091
pdc,0.50,0,4093
pdc,0.50,0,4095
pcc_err,0.50,0,4096
pdc,0.50,0,4104
pcc_err,0.50,0,4105
pcc_err,0.50,0,4105
pdc,0.50,0,4140
pdc,0.50,0,4141
pcc_err,0.50,0,4148
pcc_err,0.50,0,4148
pcc_err,0.50,0,4148
pcc_err,0.50,0,4153
pdc,0.50,0,4154
pdc,0.50,0,4155
pcc_err,0.50,0,4162
pcc_err,0.50,0,4162
pdc,0.50,0,4179
pcc_err,0.50,0,4180
pcc_err,0.50,0,4203
pdc,0.50,0,4209
pdc,0.50,0,4210
pcc_err,0.50,0,4211
pdc,0.50,0,4222
pdc,0.50,0,4224
pcc_err,0.50,0,4225
pcc_err,0.50,0,4225
pdc,0.50,0,4231
pdc,0.50,0,4233
pdc,0.50,0,4234
pcc_err,0.50,0,4235
pdc,0.50,0,4244
pcc_err,0.50,0,4263
pcc_err,0.50,0,4263
pdc,0.50,0,4269
pcc_err,0.50,0,4270
pcc_err,0.50,0,4274
pcc_err,0.50,0,4274
pdc,0.50,0,4284
pcc_err,0.50,0,4285
pcc_err,0.50,0,4285
pcc_err,0.50,0,4285
pdc,0.50,0,4291
pcc_err,0.50,0,4292
pdc,0.50,0,4296
pdc,0.50,0,4300
pdc,0.50,0,4302
pdc,0.50,0,4304
pcc_err,0.50,0,4305
pdc,0.50,0,4307
pcc_err,0.50,0,4308
pdc,0.50,0,4309
pcc_err,0.50,0,4310
pcc_err,0.50,0,4310
pcc_err,0.50,0,4330
pdc,0.50,0,4343
pdc,0.50,0,4348
pcc_err,0.50,0,4349
pcc_err,0.50,0,4354
pcc_err,0.50,0,4379
pdc,0.50,0,4384
pcc_err,0.50,0,4385
pcc_err,0.50,0,4385
pcc_err,0.50,0,4385
pcc_err,0.50,0,4402
pcc_err,0.50,0,4402
pcc_err,0.50,0,4402
pcc_err,0.50,0,4402
pcc_err,0.50,0,4402
pcc_err,0.50,0,4414
pcc_err,0.50,0,4414
pdc,0.50,0,4430
pcc_err,0.50,0,4433
pcc_err,0.50,0,4433
pcc_err,0.50,0,4433
pcc_err,0.50,0,4433
pdc,0.50,0,4447
pcc_err,0.50,0,4448
pcc_err,0.50,0,4448
pcc_err,0.50,0,4462
pdc,0.50,0,4467
pdc,0.50,0,4495
pdc,0.50,0,4496
pcc_err,0.50,0,4498
pcc_err,0.50,0,4506
pcc_err,0.50,0,4515
pdc,0.50,0,4516
pdc,0.50,0,4519
pcc_err,0.50,0,4520
pdc,0.50,0,4523
pdc,0.50,0,4526
pcc_err,0.50,0,4529
pcc_err,0.50,0,4529
pdc,0.50,0,4557
pdc,0.50,0,4559
pcc_err,0.50,0,4560
pcc_err,0.50,0,4560
pdc,0.50,0,4570
pcc_err,0.50,0,4571
pdc,0.50,0,4586
pdc,0.50,0,4590
pdc,0.50,0,4593
pcc_err,0.50,0,4594
pdc,0.50,0,4601
pcc_err,0.50,0,4602
pdc,0.50,0,4609
pcc_err,0.50,0,4613
pcc_err,0.50,0,4613
pcc_err,0.50,0,4613
pcc_err,0.50,0,4613
